trial,pop_size,generations,elite_ratio,mutation_rate,ls_iterations,fitness,csr_pct,time_s,is_pareto
129,290,310,0.2,0.4,40,229775.12779400215,63.1578947368421,61.74274206161499,False
130,210,200,0.3,0.1,15,356771.55860231846,68.42105263157895,16.091124534606934,False
131,140,270,0.1,0.35,30,145118.13538533144,57.89473684210527,23.124274969100952,False
132,250,310,0.15000000000000002,0.55,65,243164.9956545942,63.1578947368421,55.7845573425293,False
133,160,50,0.3,0.25,80,336175.05577412096,63.1578947368421,9.681726932525635,False
134,50,260,0.2,0.4,10,503951.0733350988,47.368421052631575,8.410044193267822,False
135,50,260,0.2,0.55,15,602944.0454813505,68.42105263157895,11.359201192855835,False
136,90,150,0.2,0.30000000000000004,30,1009629.0380910457,52.63157894736842,9.943227529525757,False
137,60,60,0.1,0.35,60,269676.1502717796,57.89473684210527,6.3936357498168945,False
138,270,300,0.15000000000000002,0.6,55,156950.28446115286,63.1578947368421,62.59549331665039,False
139,210,270,0.25,0.35,15,266502.80458799505,68.42105263157895,28.368815183639526,False
140,120,160,0.3,0.1,50,493920.41819854145,52.63157894736842,9.76372241973877,False
141,50,300,0.1,0.35,45,187053.28647216677,63.1578947368421,11.065231800079346,False
142,50,70,0.3,0.4,30,462494.1098932606,52.63157894736842,6.023682355880737,False
143,170,390,0.2,0.35,20,186530.30104673462,73.68421052631578,33.97315073013306,False
144,140,200,0.2,0.30000000000000004,30,207383.32342804674,63.1578947368421,15.103973388671875,False
145,250,230,0.05,0.55,55,232695.961226596,73.68421052631578,51.33990502357483,False
146,110,190,0.15000000000000002,0.1,55,352829.9935318836,73.68421052631578,11.18044400215149,False
147,70,270,0.05,0.55,35,161906.0363408521,89.47368421052632,15.502561330795288,True
148,60,150,0.05,0.30000000000000004,20,135711.74302726414,68.42105263157895,6.888425827026367,False
149,230,320,0.05,0.25,30,212218.6736885977,52.63157894736842,49.15106701850891,False
150,90,80,0.05,0.30000000000000004,55,247817.49130178522,68.42105263157895,8.025139570236206,False
